filial	dt	sku_norm	linha	qtd	valor	margem	custo	vendedor	cliente	ped_app	categorias	sub_categorias
83	29/11/2019	lavaseca210kg	LB	1	2688	468,9899902	2648,090088	V87387116	X81528181	0	LB - LAVANDERIA	LB - LAVA & SECA
33	01/12/2019	lavaseca110kg	LB	1	2678	361,5	2666,080078	V101451	M00814281	1	LB - LAVANDERIA	LB - LAVA & SECA
55	04/12/2019	cel3	CL	1	3790	206,8500061	3647,52002	V103813	B081581881	1	CL - SMARTPHONE	CL - PREMIUM
14	03/12/2019	cel5	CL	1	3199	71,36000061	2744,47998	V000186	H452058	0	CL - SMARTPHONE	CL - PREMIUM
66	30/11/2019	lavaseca210kg	LB	1	2678,310059	221,9600067	1936,25	V000186	Y81888180	0	LB - LAVANDERIA	LB - LAVA & SECA
33	01/12/2019	lavaseca110kg	LB	1	2678,310059	297,019989	2666,080078	V000186	M3081844	0	LB - LAVANDERIA	LB - LAVA & SECA
14	19/12/2019	cel3	CL	1	3099	567,1199951	2704,050049	V000186	O818500	0	CL - SMARTPHONE	CL - PREMIUM
8A	27/12/2019	cel5	CL	1	3244,949951	247,4700012	2998,909912	V1187301	N505155	0	CL - SMARTPHONE	CL - PREMIUM
97	30/11/2019	lavaseca210kg	LB	1	2678,310059	215,5800018	1942,719971	V000186	O050005	0	LB - LAVANDERIA	LB - LAVA & SECA
33	04/11/2019	lavaseca110kg	LB	1	2843,600098	330,0700073	2584,48999	V111616	Z410552	0	LB - LAVANDERIA	LB - LAVA & SECA
1B	22/12/2019	cel3	CL	1	3707,639893	313,0799866	3331,560059	V111413	H520503	0	CL - SMARTPHONE	CL - PREMIUM
14	20/12/2019	cel5	CL	1	3199	384,8800049	2703,820068	V105506	H521351	1	CL - SMARTPHONE	CL - PREMIUM
33	30/11/2019	lavaseca210kg	LB	1	2678,310059	90,06999969	2704,709961	V1108873	L5181205	0	LB - LAVANDERIA	LB - LAVA & SECA
33	10/12/2019	lavaseca110kg	LB	1	2817,100098	567,1300049	2694,179932	V873876874	L858423	0	LB - LAVANDERIA	LB - LAVA & SECA
